step,loss,ema,perplexity,id_loss,lr,conf_mean,ent_mean,brier,abstain_ratio,chosen_steps,avg_steps,s_max,inflation_rate,high_step_prob,rule_acc,top5_acc,avg_top1_prob,cloze_transition,gate_pass_60_95,z_lang_norm,z_logic_norm,z_bridge_norm,mem_size,rejector_score,tau_r,coverage,use_autonomous,difficulty_level,composite_score,abstain_cap,force_write_enabled,fw_ce,fw_len_pen
1,9.6072,9.6072,14871.8071,9.5116,8e-06,0.3386,9.1933,0.1147,1.0,10,10.0,10,1.6667,0.0,0.0,0.0,0.0007,0.0,0.0,0.0906,0.0906,0.2183,0,0.0,0.5,0.0,0,0,2.0073,1.0,0,0.0,0.0
2,9.6321,9.6085,15247.1777,9.3883,1.6e-05,0.3381,9.1942,0.1144,1.0,10,10.0,10,1.6667,0.0,0.0,0.0,0.0007,0.0,0.0,0.0966,0.0966,0.2176,0,0.0,0.5,0.0,0,0,2.0004,1.0,0,0.0,0.0
3,9.5427,9.6052,13942.1402,9.3024,2.4e-05,0.3354,9.1935,0.1125,1.0,10,10.0,10,1.6667,0.0,0.0,0.0,0.0007,0.0,0.0,0.131,0.131,0.3092,0,0.0,0.5,0.0,0,0,2.8425,1.0,0,0.0,0.0
4,9.523,9.6011,13670.493,9.3889,3.2e-05,0.3308,9.1935,0.1095,1.0,10,10.0,10,1.6667,0.0,0.0,0.0,0.0007,0.0,0.0,0.1114,0.1114,0.2508,0,0.0,0.5,0.0,0,0,2.306,1.0,0,0.0,0.0
5,9.512,9.5966,13521.0362,9.3201,4e-05,0.3247,9.1948,0.1055,1.0,10,10.0,10,1.6667,0.0,0.0,0.0,0.0007,0.0,0.0,0.1391,0.1391,0.3352,0,0.0,0.5,0.0,0,0,3.0821,1.0,0,0.0,0.0
6,9.4133,9.5875,12250.3766,9.2467,4.8e-05,0.3193,9.1948,0.102,1.0,10,10.0,10,1.6667,0.0,0.0,0.0,0.0007,0.0,0.0,0.1479,0.1479,0.334,0,0.0,0.5,0.0,0,0,3.0715,1.0,1,9.6012,0.0
7,9.4426,9.5802,12614.6555,9.1527,5.6e-05,0.3208,9.1941,0.1028,1.0,10,10.0,10,1.6667,0.0,0.0,0.0,0.0007,0.0,0.0,0.108,0.108,0.2272,0,0.0,0.5,0.0,0,0,2.0892,1.0,0,0.0,0.0
8,9.2968,9.566,10902.6955,9.0603,6.4e-05,0.3125,9.1925,0.0977,1.0,10,10.0,10,1.6667,0.0,0.0,0.0,0.0007,0.0,0.0,0.1119,0.1119,0.275,0,0.0,0.5,0.0,0,0,2.5282,1.0,1,9.6373,0.0
9,9.4247,9.559,12391.2345,9.1035,7.2e-05,0.311,9.1939,0.0967,1.0,10,10.0,10,1.6667,0.0,0.0,0.0,0.0006,0.0,0.0,0.1324,0.1324,0.3059,0,0.0,0.5,0.0,0,0,2.8126,1.0,0,0.0,0.0
10,8.9698,9.5295,7861.8041,8.8777,8e-05,0.3022,9.1937,0.0913,1.0,10,10.0,10,1.6667,0.0,0.0,0.0385,0.0006,0.0,0.0,0.1422,0.1422,0.3244,0,0.0,0.5,0.0,0,0,2.9824,1.0,0,0.0,0.0
